log_id,log_timestamp,site_id,zone_id,device_id,badge_id,user_id,outcome
LOG-000001,2025-01-05 21:57:36+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00198,USR-0198,granted
LOG-000002,2025-01-10 18:04:03+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00144,USR-0144,granted
LOG-000003,2025-01-09 13:11:36+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00093,USR-0093,invalid_credential
LOG-000004,2025-01-05 10:11:51+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,BADGE-00048,USR-0048,granted
LOG-000005,2025-01-04 09:10:31+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,BADGE-00055,USR-0055,granted
LOG-000006,2025-01-08 15:37:29+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00091,USR-0091,granted
LOG-000007,2025-01-05 13:55:41+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,BADGE-00012,USR-0012,granted
LOG-000008,2025-01-04 07:50:56+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00074,USR-0074,granted
LOG-000009,2025-01-04 02:37:34+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00044,USR-0044,granted
LOG-000010,2025-01-10 06:45:04+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00023,USR-0023,denied
LOG-000011,2025-01-06 19:32:47+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,BADGE-00026,USR-0026,denied
LOG-000012,2025-01-05 18:57:24+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,BADGE-00070,USR-0070,denied
LOG-000013,2025-01-02 14:42:08+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00077,USR-0077,granted
LOG-000014,2025-01-01 18:32:22+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00071,USR-0071,granted
LOG-000015,2025-01-10 17:29:26+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,BADGE-00138,USR-0138,granted
LOG-000016,2025-01-14 13:10:18+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00105,USR-0105,granted
LOG-000017,2025-01-05 13:07:08+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00039,USR-0039,granted
LOG-000018,2025-01-12 19:33:04+00:00,SITE-002,SITE-002::ZONE-B,DEV-012,BADGE-00195,USR-0195,granted
LOG-000019,2025-01-09 10:06:55+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,BADGE-00147,USR-0147,granted
LOG-000020,2025-01-05 06:02:54+00:00,SITE-002,SITE-002::ZONE-C,DEV-014,BADGE-00095,USR-0095,denied
LOG-000021,2025-01-08 22:26:04+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00010,USR-0010,granted
LOG-000022,2025-01-02 19:33:13+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,BADGE-00183,USR-0183,tailgated
LOG-000023,2025-01-05 17:29:05+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00149,USR-0149,granted
LOG-000024,2025-01-11 07:02:08+00:00,SITE-003,SITE-003::ZONE-C,DEV-022,BADGE-00093,USR-0093,granted
LOG-000025,2025-01-12 21:59:33+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,BADGE-00033,USR-0033,granted
LOG-000026,2025-01-04 02:08:44+00:00,SITE-001,SITE-001::ZONE-A,DEV-002,BADGE-00022,USR-0022,granted
LOG-000027,2025-01-13 18:00:38+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,BADGE-00058,USR-0058,denied
LOG-000028,2025-01-09 11:25:56+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,BADGE-00047,USR-0047,granted
LOG-000029,2025-01-04 05:02:00+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,BADGE-00042,USR-0042,granted
LOG-000030,2025-01-11 21:46:13+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,BADGE-00082,USR-0082,granted
LOG-000031,2025-01-13 08:01:36+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00010,USR-0010,granted
LOG-000032,2025-01-04 19:32:02+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00066,USR-0066,granted
LOG-000033,2025-01-02 11:31:46+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00175,USR-0175,granted
LOG-000034,2025-01-04 23:38:15+00:00,SITE-001,SITE-001::ZONE-D,DEV-007,BADGE-00174,USR-0174,granted
LOG-000035,2025-01-11 14:11:55+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,BADGE-00002,USR-0002,granted
LOG-000036,2025-01-01 20:42:05+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,BADGE-00136,USR-0136,granted
LOG-000037,2025-01-05 01:09:48+00:00,SITE-001,SITE-001::ZONE-D,DEV-008,BADGE-00199,USR-0199,granted
LOG-000038,2025-01-05 11:28:07+00:00,SITE-002,SITE-002::ZONE-A,DEV-010,BADGE-00116,USR-0116,granted
LOG-000039,2025-01-01 05:36:30+00:00,SITE-001,SITE-001::ZONE-B,DEV-004,BADGE-00079,USR-0079,granted
LOG-000040,2025-01-09 08:44:35+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,BADGE-00099,USR-0099,granted
LOG-000041,2025-01-12 06:49:44+00:00,SITE-001,SITE-001::ZONE-A,DEV-001,,USR-0043,granted
LOG-000042,2025-01-03 04:20:50+00:00,SITE-001,SITE-001::ZONE-C,DEV-006,BADGE-00080,USR-0080,granted
