event_id,event_timestamp,site_id,zone_id,device_id,event_type,confidence_score
EVT-000001,2025-01-12 07:35:19+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.7362094265276977
EVT-000002,2025-01-11 07:31:58+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,loitering,0.8613799565340297
EVT-000003,2025-01-08 19:35:39+00:00,SITE-002,SITE-002::ZONE-D,DEV-016,object_left,0.8684366707175664
EVT-000004,2025-01-13 09:49:51+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.5120922540036662
EVT-000005,2025-01-02 19:05:51+00:00,SITE-002,SITE-002::ZONE-B,DEV-011,normal_motion,0.6246480989072873
EVT-000006,2025-01-13 21:28:29+00:00,SITE-003,SITE-003::ZONE-C,DEV-021,normal_motion,0.5039264892216861
EVT-000007,2025-01-12 21:40:32+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.5593659559393593
EVT-000008,2025-01-08 01:13:13+00:00,SITE-003,SITE-003::ZONE-A,DEV-017,normal_motion,0.5645804862333021
EVT-000009,2025-01-11 06:25:09+00:00,SITE-001,SITE-001::ZONE-C,DEV-005,normal_motion,0.48984183639130485
EVT-000010,2025-01-08 06:48:43+00:00,SITE-001,SITE-001::ZONE-B,DEV-003,normal_motion,0.6727640802745669
EVT-000011,2025-01-04 18:18:16+00:00,SITE-002,SITE-002::ZONE-C,DEV-013,normal_motion,0.6357582562256138
EVT-000012,2025-01-12 04:45:22+00:00,SITE-003,SITE-003::ZONE-D,DEV-024,normal_motion,0.5867079082120249
EVT-000013,2025-01-04 10:37:46+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,normal_motion,0.5354312499807062
EVT-000014,2025-01-05 09:39:18+00:00,SITE-003,SITE-003::ZONE-B,DEV-019,normal_motion,0.7194816045779995
EVT-000015,2025-01-08 06:28:54+00:00,SITE-003,SITE-003::ZONE-A,DEV-018,object_left,0.9528053565399183
